LIN,NOMENCLATURE,FY,SUPPLY_CLASS,ERC,COMPO,REQD,AUTH,ONHAND,OH_NO_SUBS,OVER_SHORT,COST_PER,AWCF_COST,TOTAL_COST,LIN_ERATE
,,,,,,,,,,,,,,
FB8513,ANTENNA,13MAY18, ,X,1-AA,0,0,47,47,47,0,0,0, 
FB8556,ANTENNA,13MAY18,2,X,1-AA,0,0,1,1,1,395007,0,0, 
A79381,ANTENNA GROUP: OE-254()/GRC,13MAY18,7,A,1-AA,5,5,5,5,0,1019,0,0,1
A79517,ANTENNA GROUP: OE-452/PRC,13MAY18,2,A,1-AA,19,19,19,19,0,16876,0,0,1
FB856B,ANTENNA SUBASSEMBLY,13MAY18,9,X,1-AA,0,0,3,3,3,76274,0,0, 
70203N,"ANTENNA, BASE RADIO STATION/REPEATER",13MAY18,2,X,1-AA,0,0,225,225,225,2050,0,0, 
B57077,BATTLEFIELD ANTI-INTRUSION SYSTE: AN/PRS-9,13MAY18,7,A,1-AA,5,5,5,5,0,40000,0,0,1
92116N,"CAMERA, DIGITAL",13MAY18,2,X,1-AA,0,0,27,27,27,1202,0,0, 
B05003,COMMUNICATION SET: SATELLITE (SDN-LITE),13MAY18,7,X,1-AA,0,0,13,13,13,150000,0,0, 
C05029,COMMUNICATION SYSTEM: SOF DEPLOYABLE NODE MEDIUM BLACK/RED/GRE,13MAY18, ,X,1-AA,0,0,1,1,1,436120,0,0, 
C05036,COMPUTER SET DIGITAL (JBC-P): AN/UYK-128B(V)3,13MAY18, ,A,1-AA,54,54,17,17,-37,17222,0,637214,4
C18378,COMPUTER SET DIGITAL: AN/UYK-128,13MAY18,7,X,1-AA,0,0,24,24,24,15954,0,0, 
C18297,COMPUTER SET GENERAL: AN/GKY-33E,13MAY18,7,A,1-AA,1,1,1,1,0,26000,0,0,1
FJ103L,"COMPUTER SET, DIGITAL",13MAY18,9,X,1-AA,0,0,2,2,2,11993,0,0, 
C05055,COMPUTER SET: DIGITAL (JBC-P LOG) AN/UYQ-90B(V)4,13MAY18, ,A,1-AA,10,10,0,0,-10,16646,0,166460,4
C05037,COMPUTER SET: DIGITAL (JBC-P)  AN/GYK-62G,13MAY18, ,A,1-AA,7,7,8,8,1,16000,0,0,1
C18345,COMPUTER SET: DIGITAL AN/TYQ-106(V)1,13MAY18,7,A,1-AA,1,1,2,2,1,1964,0,0,1
C18277,COMPUTER SET: DIGITAL AN/TYQ-107(V)1,13MAY18,7,A,1-AA,24,24,32,32,8,1695,0,0,1
C27588,COMPUTER SY DIG: AN/PYQ-13 (GCCS-A),13MAY18, ,A,1-AA,4,4,4,4,0,3497,0,0,1
C05002,COMPUTER SYS DIGITAL: AN/PYQ-10(C),13MAY18,7,A,1-AA,141,141,105,105,-36,2919,0,105084,3
C27963,COMPUTER SYSEM: DIGITAL,13MAY18, ,A,1-AA,6,6,14,14,8,10222.38,0,0,1
C18641,COMPUTER SYST DIGITAL: AN/PYQ-12,13MAY18, ,A,1-AA,1,1,2,2,1,16968,0,0,1
C05077,COMPUTER SYSTEM DIGITAL:  AN/TYQ-161(V)6,13MAY18, ,A,1-AA,1,1,1,1,0,0,0,0,1
C05070,COMPUTER SYSTEM DIGITAL: AN/TYQ-161 (V)1 LOMAT V1,13MAY18, ,A,1-AA,1,1,0,0,-1,0,0,0,4
C18312,COMPUTER SYSTEM: DIGITAL AN/PYQ-3,13MAY18,7,A,1-AA,2,2,2,2,0,50000,0,0,1
C27503,COMPUTER SYSTEM: DIGITAL AN/TYQ-105(V)1,13MAY18,7,A,1-AA,45,45,0,0,-45,2562,0,115290,4
C27639,COMPUTER SYSTEM: DIGITAL AN/TYQ-108(V)3,13MAY18,7,A,1-AA,1,1,2,2,1,5532,0,0,1
C27435,COMPUTER SYSTEM: DIGITAL AN/TYQ-129(V)2,13MAY18,7,A,1-AA,2,2,2,2,0,3000,0,0,1
C05075,COMPUTER SYSTEM: DIGITAL AN/TYQ-161 (V) 4 (MT-OM),13MAY18, ,A,1-AA,2,2,2,2,0,0,0,0,1
C05076,COMPUTER SYSTEM: DIGITAL AN/TYQ-161 (V)5  USS,13MAY18, ,A,1-AA,7,7,8,8,1,0,0,0,1
