LIN,NOMENCLATURE,FY,SUPPLY_CLASS,ERC,COMPO,REQD,AUTH,ONHAND,OH_NO_SUBS,OVER_SHORT,COST_PER,AWCF_COST,TOTAL_COST,LIN_ERATE
,,,,,,,,,,,,,,
R66273,REFUELING SYSTEM: AVIATION HEMMTTANKER,13MAY18,7,A,1-AA,1,1,0,0,-1,24460,0,24460,4
T05047,TRAILER TANK WATER (CAMEL): 800 GAL 5 TON W/E,13MAY18, ,A,1-AA,1,1,0,0,-1,95000,0,95000,4
T07679,TRUCK UTILITY: HEAVY VARIANT HMMWV 4X4 10000 GVW W/E,13MAY18,7,A,1-AA,22,22,22,2,0,89900,0,0,1
T28688,TOOL KIT: GENERAL MECHANIC'S,13MAY18,2,A,1-AA,33,33,11,11,-22,1780,0,39160,4
T34704,TRUCK UTILITY: ECV ARMAMENT CARRIER W/IAP ARMOR READY M1151A1,13MAY18,7,A,1-AA,12,12,12,12,0,238500,0,0,1
T38844,TRUCK AMBULANCE: 4 LITTER ARMD 4X4 W/E (HMMWV),13MAY18,7,A,1-AA,1,1,1,1,0,310000,0,0,1
T40090,TRAILER-MTD: PU-2101/15 KW/50/60 HZ/M200A1,13MAY18, ,A,1-AA,1,1,1,1,0,44157.36,0,0,1
T41036,TRUCK CARGO: 5 TON 6X6 MTV W/E LAPES/AD,13MAY18,7,A,1-AA,9,9,3,3,-6,118579,0,711474,4
T41515,TRUCK CARGO: 5 TON WO/WINCH,13MAY18, ,A,1-AA,5,5,1,1,-4,205000,0,820000,4
T41995,TRUCK CARGO: 2 1/2 TON 4X4 LMTV W/E LAPES/AD,13MAY18,7,A,1-AA,1,1,2,2,1,103220,0,0,1
T42063,TRUCK CARGO: 2 1/2 TON 4X4 LMTV W/E W/W LAPES/AD,13MAY18,7,A,1-AA,1,1,1,1,0,119166,0,0,1
T62359,TRUCK VAN: M1079A1P2 WO/WINCH,13MAY18, ,A,1-AA,1,1,1,1,0,280000,0,0,1
T55054,TRUCK PALLETIZED (LHS): M1120A4,13MAY18, ,A,1-AA,1,1,1,1,0,321057,0,0,1
T57382,TOOL KIT: ELECTRONICS MAINTENANCE TK-17,13MAY18,2,A,1-AA,16,16,5,5,-11,850,0,9350,4
T58318,TRUCK TANK: WO/WINCH,13MAY18, ,A,1-AA,3,3,3,3,0,384130,0,0,1
T59448,TRUCK CARGO: WO/WINCH,13MAY18, ,A,1-AA,2,2,0,0,-2,185000,0,370000,4
T59584,TRUCK CARGO: W/MHE WO/WINCH,13MAY18, ,A,1-AA,4,4,4,4,0,280000,0,0,1
T62359,TRUCK VAN: M1079A1P2 WO/WINCH,13MAY18, ,A,1-AA,1,1,1,1,0,280000,0,0,1
T63161,TRUCK WRECKER: M984A4,13MAY18, ,A,1-AA,1,1,1,1,0,491382,0,0,1
T73347,TRUCK LIFT: FORK VARIABLE REACH ROUGH TERRAIN,13MAY18,7,A,1-AA,2,2,2,2,0,166639,0,0,1
T88983,TRUCK TRACTOR: WO/WINCH,13MAY18, ,A,1-AA,2,2,2,2,0,205000,0,0,1
T92889,MAINTENANCE SUPPORT DEVICE:,13MAY18,7,A,1-AA,5,5,7,7,2,24963,0,0,1
T94671,TRUCK WRECKER:,13MAY18, ,A,1-AA,1,1,1,1,0,480000,0,0,1
T95555,TRAILER CARGO: MTV W/DROPSIDES M1095,13MAY18,7,A,1-AA,5,5,8,8,3,45000,0,0,1
T95924,TRAILER CARGO: HIGH MOBILITY 1-1/4 TON,13MAY18,7,A,1-AA,5,5,5,4,0,8954,0,0,1
T95992,LIGHT TACTICAL TRAILER: 3/4 TON,13MAY18,7,A,1-AA,15,15,15,16,0,8954,0,0,1
T96564,TRAILER FLAT BED: M1082 TRLR CARGO LMTV W/DROPSIDES,13MAY18,7,A,1-AA,1,1,2,2,1,35000,0,0,1
V12141,TANK AND PUMP UNIT LIQUID DISPENSING TRUCKMOUNTING:,13MAY18,7,A,1-AA,1,1,1,1,0,29979,0,0,1
W34648,TOOL KIT CARPENTERS: ENGINEER SQUAD W/CHEST,13MAY18,2,A,1-AA,24,24,23,23,-1,1235,0,1235,1
W37388,TOOL KIT ELECTRONIC EQUIPMENT: TK-105/G,13MAY18,2,A,1-AA,6,6,2,2,-4,2036,0,8144,4
W37483,TOOL KIT ELECTRIC EQUIPMENT: TK-101/GSQ,13MAY18,2,A,1-AA,23,23,23,23,0,459,0,0,1
W51362,TOOL KIT SERVICE REFRIGERATION UNIT: GENERAL MAINTENANCE,13MAY18,2,A,1-AA,1,1,1,1,0,5375,0,0,1
W69528,TOWBAR MOTOR VEHICLE: WHEELED VEHICLE,13MAY18,2,A,1-AA,19,19,11,11,-8,1903,0,15224,4
W98825,TRAILER TANK: WATER 400 GALLON 1-1/2 TON 2 WHEEL W/E,13MAY18,7,A,1-AA,1,1,1,1,0,16000,0,0,1
Z05285,MAINTENANCE KIT: MK-3351/TPQ-50,13MAY18, ,A,1-AA,1,1,0,0,-1,0,0,0,4
MC8011,TOOL KIT GENERAL MECHANICS,13MAY18,2,X,1-AA,0,0,2,2,2,54388,0,0, 
T37588,TRUCK UTILITY EXPANDED CAPACITY ENHANCED: M1152A1,13MAY18, ,X,1-AA,0,0,5,25,5,186729,0,0, 
T41135,TRUCK CARGO: MTV W/E W/W,13MAY18,7,X,1-AA,0,0,1,1,1,182089,0,0, 
T41203,TRUCK CARGO: MTV W/MHE W/E,13MAY18,7,X,1-AA,0,0,3,3,3,218378,0,0, 
T61908,TRUCK CARGO: MTV W/E,13MAY18,7,X,1-AA,0,0,5,5,5,184333,0,0, 
T87243,TRUCK TANK: FUEL SERVICING 2500 GALLON 8X8 HEAVY EXP MOB,13MAY18,7,X,1-AA,0,0,1,1,1,384130,0,0, 
V15566,TANK LIQUID STORAGE METAL: PETRO PRODUCTS SKID MTD 600 GAL,13MAY18,2,X,1-AA,0,0,1,1,1,368,0,0, 
YF2021,"TRUCK, UTILITY",13MAY18,8,X,1-AA,0,0,6,6,6,1200,0,0, 
S70406,SLED SCOW TYPE: CARGO (MOST),13MAY18,7,X,1-AA,0,0,25,25,25,1729,0,0, 
T37588,TRUCK UTILITY EXPANDED CAPACITY ENHANCED: M1152A1,13MAY18, ,X,1-AA,0,0,5,25,5,186729,0,0, 
T41135,TRUCK CARGO: MTV W/E W/W,13MAY18,7,X,1-AA,0,0,1,1,1,182089,0,0, 
T41203,TRUCK CARGO: MTV W/MHE W/E,13MAY18,7,X,1-AA,0,0,3,3,3,218378,0,0, 
T61908,TRUCK CARGO: MTV W/E,13MAY18,7,X,1-AA,0,0,5,5,5,184333,0,0, 
T87243,TRUCK TANK: FUEL SERVICING 2500 GALLON 8X8 HEAVY EXP MOB,13MAY18,7,X,1-AA,0,0,1,1,1,384130,0,0, 
V15566,TANK LIQUID STORAGE METAL: PETRO PRODUCTS SKID MTD 600 GAL,13MAY18,2,X,1-AA,0,0,1,1,1,368,0,0, 
YF2021,"TRUCK, UTILITY",13MAY18,8,X,1-AA,0,0,6,6,6,1200,0,0, 
